195.9794 	EXP 	New trial (rep=0, index=0): {'Numb': 43, 'picture_show': 'picture\\p04.tif', 'Video_1': 'GG_right_01_42\\GGY04.mp4', 'picture_judge': 'picture\\p04.tif'}
196.4083 	EXP 	image_intr: autoDraw = False
196.4083 	EXP 	image_show: image = 'picture\\p04.tif'
196.4083 	EXP 	image_show_text: autoDraw = True
196.4109 	DATA 	Keypress: space
197.3649 	EXP 	image_show: autoDraw = True
197.4181 	EXP 	image_show_text: autoDraw = False
199.5143 	EXP 	window1: recordFrameIntervals = False
199.5260 	EXP 	image_show_text: autoDraw = False
199.5260 	EXP 	image_show: autoDraw = False
199.6262 	EXP 	window1: recordFrameIntervals = True
201.0334 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

201.0334 	WARNING 	FrameRate could not be supplied by psychopy; defaulting to 60.0
201.0338 	EXP 	Created video1 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='GG_right_01_42\\GGY04.mp4', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='video1', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='norm', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
201.1690 	EXP 	video1: autoLog = True
201.1690 	EXP 	video1: movie = 'GG_right_01_42\\GGY04.mp4'
201.1690 	EXP 	video1: size = array([1.7, 2. ])
201.1690 	EXP 	video1: ori = 0.0
201.1690 	EXP 	image_video_text: autoDraw = True
202.1388 	EXP 	video1: autoDraw = True
202.1691 	EXP 	image_video_text: autoDraw = False
231.4147 	EXP 	Set video1 finished
231.4488 	EXP 	video1: autoDraw = False
231.4488 	EXP 	image_video_text: autoDraw = False
231.4488 	EXP 	image_judge: image = 'picture\\p04.tif'
231.4488 	EXP 	slider_left: markerPos = None
231.4488 	EXP 	slider_left: markerPos = None
231.4488 	EXP 	slider_left: rating = None
231.4488 	EXP 	slider_mid: markerPos = None
231.4488 	EXP 	slider_mid: markerPos = None
231.4488 	EXP 	slider_mid: rating = None
231.4488 	EXP 	slider_right: markerPos = None
231.4488 	EXP 	slider_right: markerPos = None
231.4488 	EXP 	slider_right: rating = None
231.4488 	EXP 	image_judge: autoDraw = True
231.4488 	EXP 	image_judge_text: autoDraw = True
231.4488 	EXP 	slider_left: autoDraw = True
231.4488 	EXP 	slider_mid: autoDraw = True
231.4488 	EXP 	slider_right: autoDraw = True
238.0327 	DATA 	Mouse: Left button down, pos=(819,369)
238.0642 	EXP 	slider_left: markerPos = 4.009375
238.0930 	EXP 	slider_left: markerPos = 4.009375
238.1089 	EXP 	slider_left: markerPos = 4.009375
238.1308 	EXP 	slider_left: markerPos = 4.009375
238.1360 	DATA 	Mouse:  Left button up, pos=(819,369)
238.1589 	EXP 	slider_left: markerPos = 4.009375
238.1589 	EXP 	slider_left: rating = 4.009375
238.7387 	DATA 	Mouse: Left button down, pos=(1293,363)
238.7502 	EXP 	slider_mid: markerPos = 3.953125
238.7726 	EXP 	slider_mid: markerPos = 3.953125
238.8012 	EXP 	slider_mid: markerPos = 3.953125
238.8058 	DATA 	Mouse:  Left button up, pos=(1293,363)
238.8173 	EXP 	slider_mid: markerPos = 3.953125
238.8173 	EXP 	slider_mid: rating = 3.953125
239.5449 	DATA 	Mouse: Left button down, pos=(1756,472)
239.5643 	EXP 	slider_right: markerPos = 4.9750000000000005
239.5927 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6088 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6308 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6591 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6748 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6791 	DATA 	Mouse:  Left button up, pos=(1756,473)
239.6976 	EXP 	slider_right: markerPos = 4.9750000000000005
239.6976 	EXP 	slider_right: rating = 4.9750000000000005
240.8184 	DATA 	Mouse: Left button down, pos=(1272,261)
240.8423 	EXP 	slider_mid: markerPos = 2.996875
240.8581 	EXP 	slider_mid: markerPos = 2.996875
240.8807 	EXP 	slider_mid: markerPos = 2.996875
240.8989 	EXP 	slider_mid: markerPos = 2.996875
240.9048 	DATA 	Mouse:  Left button up, pos=(1272,261)
240.9240 	EXP 	slider_mid: markerPos = 2.996875
240.9240 	EXP 	slider_mid: rating = 2.996875
243.8784 	DATA 	Mouse: wheel shift=(0,-1), pos=(1544,368)
243.9367 	DATA 	Mouse: wheel shift=(0,-1), pos=(1544,368)
244.0031 	DATA 	Mouse: wheel shift=(0,-2), pos=(1544,368)
245.2787 	EXP 	New trial (rep=0, index=1): {'Numb': 54, 'picture_show': 'picture\\p15.tif', 'Video_1': 'GG_right_01_42\\GGY15.mp4', 'picture_judge': 'picture\\p15.tif'}
245.3197 	EXP 	image_judge: autoDraw = False
245.3197 	EXP 	image_judge_text: autoDraw = False
245.3197 	EXP 	slider_left: autoDraw = False
245.3197 	EXP 	slider_mid: autoDraw = False
245.3197 	EXP 	slider_right: autoDraw = False
245.3197 	EXP 	image_show: image = 'picture\\p15.tif'
245.3197 	EXP 	image_show_text: autoDraw = True
245.3222 	DATA 	Keypress: space
246.3031 	EXP 	image_show: autoDraw = True
246.3223 	EXP 	image_show_text: autoDraw = False
247.2906 	DATA 	Mouse: wheel shift=(0,1), pos=(1243,447)
248.7840 	EXP 	window1: recordFrameIntervals = False
248.7901 	EXP 	image_show_text: autoDraw = False
248.7901 	EXP 	image_show: autoDraw = False
248.9071 	EXP 	window1: recordFrameIntervals = True
