A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
36,36,0,9,72,36,81,0.56,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_09.png,,,,,0,15,15,241,,,,,,,,,,,,,,,,,,,,,,,,,,,250.39764058820583,None,250.39764058820583,None,250.8876705174771,None,250.8876705174771,None,25,250.8876705174771,None,return,7.2996220867935335,250.8876705174771,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,18,0,0,18,0,18,0.0,1.0,0.0,None,None,None,,stimuli/P_00_18_00_00.png,,,,,0,16,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,258.22024722794595,None,258.22024722794595,None,258.68947002834466,None,258.68947002834466,None,0,258.68947002834466,None,return,2.5068326458276715,258.68947002834466,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,9,0,36,27,18,63,0.86,0.33,0.67,0.0,0.67,0.67,,stimuli/P_18_09_00_36.png,,,,,0,17,17,147,,,,,,,,,,,,,,,,,,,,,,,,,,,261.2166416070904,None,261.2166416070904,None,261.7021380569349,None,261.7021380569349,None,36,261.7021380569349,None,return,6.1070826158247655,261.7021380569349,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,0,36,36,9,45,81,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_09_00_36_36.png,,,,,0,18,18,79,,,,,,,,,,,,,,,,,,,,,,,,,,,267.8455738415578,None,267.8455738415578,None,268.3167064035879,None,268.3167064035879,None,20,268.3167064035879,None,None,,268.3167064035879,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,9,9,36,27,27,72,0.88,0.33,0.67,0.2,0.47,0.58,,stimuli/P_18_09_09_36.png,,,,,0,19,19,151,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3542934934376,None,276.3542934934376,None,276.8321378123146,None,276.8321378123146,None,25,276.8321378123146,None,return,3.0404690834257053,276.8321378123146,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,9,9,36,9,9,54,0.83,1.0,0.0,0.2,-0.2,-0.25,,stimuli/P_00_09_09_36.png,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,279.9059011463687,None,279.9059011463687,None,280.386182018432,None,280.386182018432,None,0,280.386182018432,None,return,4.74637603246083,280.386182018432,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,0,18,18,9,27,45,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_09_00_18_18.png,,,,,0,21,21,74,,,,,,,,,,,,,,,,,,,,,,,,,,,285.1575965789234,None,285.1575965789234,None,285.6456974043249,None,285.6456974043249,None,30,285.6456974043249,None,return,7.966865038390097,285.6456974043249,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,9,0,36,9,0,45,0.8,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_09_00_36.png,,,,,0,22,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,293.63658550322,None,293.63658550322,None,294.1128949585618,None,294.1128949585618,None,0,294.1128949585618,None,return,1.9232130189193413,294.1128949585618,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,18,36,0,27,45,63,0.71,0.67,0.33,1.0,-0.67,#NAME?,,stimuli/P_09_18_36_00.png,,,,,0,23,23,108,,,,,,,,,,,,,,,,,,,,,,,,,,,296.06815636037936,None,296.06815636037936,None,296.5452673808468,None,296.5452673808468,None,25,296.5452673808468,None,return,7.242246180052462,296.5452673808468,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,0,18,45,9,63,0.43,0.8,0.2,0.0,0.2,0.2,,stimuli/P_09_36_00_18.png,,,,,0,24,24,114,,,,,,,,,,,,,,,,,,,,,,,,,,,303.8123046220571,None,303.8123046220571,None,304.2801916702083,None,304.2801916702083,None,25,304.2801916702083,None,return,5.19421485017665,304.2801916702083,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
