A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image
0,9,9,9,9,9,27,0.67,1.0,0.0,0.5,-0.5,-1.0,P_00_09_09_09.png
0,9,9,18,9,9,36,0.75,1.0,0.0,0.33,-0.33,-0.5,P_00_09_09_18.png
0,9,9,36,9,9,54,0.83,1.0,0.0,0.2,-0.2,-0.25,P_00_09_09_36.png
0,9,18,0,9,18,27,0.67,1.0,0.0,1.0,-1.0,-1.799998e6,P_00_09_18_00.png
0,9,18,9,9,18,36,0.75,1.0,0.0,0.67,-0.67,-2.0,P_00_09_18_09.png
0,9,18,18,9,18,45,0.8,1.0,0.0,0.5,-0.5,-1.0,P_00_09_18_18.png
0,9,18,36,9,18,63,0.86,1.0,0.0,0.33,-0.33,-0.5,P_00_09_18_36.png
0,9,36,0,9,36,45,0.8,1.0,0.0,1.0,-1.0,-3.599996e6,P_00_09_36_00.png
0,9,36,9,9,36,54,0.83,1.0,0.0,0.8,-0.8,-4.0,P_00_09_36_09.png
0,9,36,18,9,36,63,0.86,1.0,0.0,0.67,-0.67,-2.0,P_00_09_36_18.png
0,9,36,36,9,36,81,0.89,1.0,0.0,0.5,-0.5,-1.0,P_00_09_36_36.png
0,18,0,0,18,0,18,0.0,1.0,0.0,0.5,-0.5,-1.0,P_00_18_00_00.png
0,18,0,9,18,0,27,0.33,1.0,0.0,0.0,-0.0,-0.0,P_00_18_00_09.png
0,18,0,18,18,0,36,0.5,1.0,0.0,0.0,0.0,0.0,P_00_18_00_18.png
0,18,0,36,18,0,54,0.67,1.0,0.0,0.0,0.0,0.0,P_00_18_00_36.png
0,18,9,0,18,9,27,0.33,1.0,0.0,1.0,-1.0,-899999.5,P_00_18_09_00.png
0,18,9,9,18,9,36,0.5,1.0,0.0,0.5,-0.5,-1.0,P_00_18_09_09.png
0,18,9,18,18,9,45,0.6,1.0,0.0,0.33,-0.33,-0.5,P_00_18_09_18.png
0,18,9,36,18,9,63,0.71,1.0,0.0,0.2,-0.2,-0.25,P_00_18_09_36.png
0,18,18,0,18,18,36,0.5,1.0,0.0,1.0,-1.0,-1.799999e6,P_00_18_18_00.png
0,18,18,9,18,18,45,0.6,1.0,0.0,0.67,-0.67,-2.0,P_00_18_18_09.png
0,18,18,18,18,18,54,0.67,1.0,0.0,0.5,-0.5,-1.0,P_00_18_18_18.png
0,18,18,36,18,18,72,0.75,1.0,0.0,0.33,-0.33,-0.5,P_00_18_18_36.png
0,18,36,0,18,36,54,0.67,1.0,0.0,1.0,-1.0,-3.599998e6,P_00_18_36_00.png
0,18,36,9,18,36,63,0.71,1.0,0.0,0.8,-0.8,-4.0,P_00_18_36_09.png
0,18,36,18,18,36,72,0.75,1.0,0.0,0.67,-0.67,-2.0,P_00_18_36_18.png
0,18,36,36,18,36,90,0.8,1.0,0.0,0.5,-0.5,-1.0,P_00_18_36_36.png
0,36,0,0,36,0,36,0.0,1.0,0.0,0.5,-0.5,-1.0,P_00_36_00_00.png
0,36,0,9,36,0,45,0.2,1.0,0.0,0.0,-0.0,-0.0,P_00_36_00_09.png
0,36,0,18,36,0,54,0.33,1.0,0.0,0.0,-0.0,-0.0,P_00_36_00_18.png
0,36,0,36,36,0,72,0.5,1.0,0.0,0.0,0.0,0.0,P_00_36_00_36.png
0,36,9,0,36,9,45,0.2,1.0,0.0,1.0,-1.0,-899999.75,P_00_36_09_00.png
0,36,9,9,36,9,54,0.33,1.0,0.0,0.5,-0.5,-1.0,P_00_36_09_09.png
0,36,9,18,36,9,63,0.43,1.0,0.0,0.33,-0.33,-0.5,P_00_36_09_18.png
0,36,9,36,36,9,81,0.56,1.0,0.0,0.2,-0.2,-0.25,P_00_36_09_36.png
0,36,18,0,36,18,54,0.33,1.0,0.0,1.0,-1.0,-1.7999995e6,P_00_36_18_00.png
0,36,18,9,36,18,63,0.43,1.0,0.0,0.67,-0.67,-2.0,P_00_36_18_09.png
0,36,18,18,36,18,72,0.5,1.0,0.0,0.5,-0.5,-1.0,P_00_36_18_18.png
0,36,18,36,36,18,90,0.6,1.0,0.0,0.33,-0.33,-0.5,P_00_36_18_36.png
0,36,36,0,36,36,72,0.5,1.0,0.0,1.0,-1.0,-3.599999e6,P_00_36_36_00.png
0,36,36,9,36,36,81,0.56,1.0,0.0,0.8,-0.8,-4.0,P_00_36_36_09.png
0,36,36,18,36,36,90,0.6,1.0,0.0,0.67,-0.67,-2.0,P_00_36_36_18.png
0,36,36,36,36,36,108,0.67,1.0,0.0,0.5,-0.5,-1.0,P_00_36_36_36.png
9,0,0,0,9,9,9,1.0,0.0,1.0,0.5,0.5,1.0,P_09_00_00_00.png
9,0,0,9,9,9,18,1.0,0.0,1.0,0.0,1.0,1.0,P_09_00_00_09.png
9,0,0,18,9,9,27,1.0,0.0,1.0,0.0,1.0,1.0,P_09_00_00_18.png
9,0,0,36,9,9,45,1.0,0.0,1.0,0.0,1.0,1.0,P_09_00_00_36.png
9,0,9,0,9,18,18,1.0,0.0,1.0,1.0,0.0,0.0,P_09_00_09_00.png
9,0,9,9,9,18,27,1.0,0.0,1.0,0.5,0.5,1.0,P_09_00_09_09.png
