number,type,latency,connective,pause
613,255,1196203,and,0
614,221,1199318,and,200
615,148,1200052,and,200
616,202,1200886,and,200
617,203,1201419,and,200
618,204,1201686,and,200
619,255,1203586,and,200
620,221,1206724,and,200
621,51,1207452,and,200
622,202,1208285,and,200
623,203,1208852,and,200
624,204,1209169,and,200
625,255,1211036,and,200
626,222,1214122,or,200
627,101,1214919,or,200
628,202,1215769,or,200
629,203,1216319,or,200
630,204,1217002,or,200
631,255,1219052,or,200
632,212,1222353,or,0
633,65,1222952,or,0
634,202,1223752,or,0
635,203,1224268,or,0
636,204,1225018,or,0
637,255,1226919,or,0
638,221,1230323,and,200
639,118,1231135,and,200
640,202,1231885,and,200
641,203,1232452,and,200
642,204,1232735,and,200
643,255,1234634,and,200
644,222,1238514,or,200
645,50,1239134,or,200
646,202,1239934,or,200
647,203,1240534,or,200
648,204,1241201,or,200
649,255,1243384,or,200
650,211,1246435,and,0
651,7,1247234,and,0
652,202,1248034,and,0
653,203,1248634,and,0
654,204,1248950,and,0
655,255,1250934,and,0
656,222,1254067,or,200
657,33,1254767,or,200
658,202,1255517,or,200
659,203,1256084,or,200
660,204,1256750,or,200
661,255,1258900,or,200
662,212,1262433,or,0
663,124,1263283,or,0
664,202,1264083,or,0
665,203,1264567,or,0
666,204,1265317,or,0
667,255,1267250,or,0
668,221,1270422,and,200
669,109,1271150,and,200
670,202,1271950,and,200
671,203,1272550,and,200
672,204,1272900,and,200
673,255,1274834,and,200
674,221,1278327,and,200
675,6,1279133,and,200
676,202,1279850,and,200
677,203,1280450,and,200
678,204,1280733,and,200
679,255,1282667,and,200
680,222,1285915,or,200
681,178,1286566,or,200
682,202,1287366,or,200
683,203,1287816,or,200
684,204,1288516,or,200
685,255,1290533,or,200
686,212,1293722,or,0
687,19,1294366,or,0
688,202,1295200,or,0
689,203,1295766,or,0
690,204,1296516,or,0
691,255,1298500,or,0
692,211,1303500,and,0
693,59,1304233,and,0
694,202,1304999,and,0
695,203,1305633,and,0
696,204,1305883,and,0
697,255,1307733,and,0
698,212,1310763,or,0
699,122,1311583,or,0
700,202,1312333,or,0
701,203,1312899,or,0
702,204,1313599,or,0
703,255,1315633,or,0
704,222,1320621,or,200
705,34,1321349,or,200
706,202,1322066,or,200
707,203,1322666,or,200
708,204,1323382,or,200
709,255,1325383,or,200
710,211,1330155,and,0
711,130,1330916,and,0
712,202,1331766,and,0
713,203,1332399,and,0
714,204,1332682,and,0
715,255,1334582,and,0
716,211,1337789,and,0
717,80,1338349,and,0
718,202,1339149,and,0
719,203,1339715,and,0
720,204,1339999,and,0
721,255,1341832,and,0
722,211,1345088,and,0
723,11,1345815,and,0
724,202,1346565,and,0
725,203,1347215,and,0
726,204,1347499,and,0
727,255,1349466,and,0
728,212,1352811,or,0
729,41,1353465,or,0
730,202,1354265,or,0
731,203,1354865,or,0
732,204,1355565,or,0
733,255,1357732,or,0
734,221,1362104,and,200
735,72,1362748,and,200
736,202,1363582,and,200
737,203,1364182,and,200
738,204,1364515,and,200
739,255,1366432,and,200
740,211,1369472,and,0
741,8,1370165,and,0
742,202,1370965,and,0
743,203,1371515,and,0
744,204,1371765,and,0
745,255,1373615,and,0
746,221,1378605,and,200
747,103,1379283,and,200
748,202,1380216,and,200
749,203,1380766,and,200
750,204,1381082,and,200
751,255,1382899,and,200
752,212,1385977,or,0
753,90,1386582,or,0
754,202,1387316,or,0
755,203,1387832,or,0
756,204,1388616,or,0
757,255,1390699,or,0
758,212,1394788,or,0
759,121,1395599,or,0
760,202,1396349,or,0
761,203,1396999,or,0
762,204,1397749,or,0
763,255,1399699,or,0
764,221,1404687,and,200
765,1,1405215,and,200
766,202,1406099,and,200
767,203,1406765,and,200
768,204,1407049,and,200
769,255,1409016,and,200
770,222,1412098,or,200
