trialNumber,trialType,x1,p,y1,p2,outcome1,x2,q,y2,q2,outcome2,LWedgeCol,LCircleCol,RWedgeCol,RCircleCol,Lslice,Rslice,L1,L2,R1,R2,x1Pos,x2Pos,y1Pos,y2Pos,leftPoints,rightPoints,LeftYourUn,RightYouUn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI_2.started,ISI_2.stopped,arrowL_2.started,arrowL_2.stopped,arrowR_2.started,arrowR_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,blueLVal_2.started,blueLVal_2.stopped,blueRVal_2.started,blueRVal_2.stopped,redLVal_2.started,redLVal_2.stopped,redRVal_2.started,redRVal_2.stopped,right.started,right.stopped,left.started,left.stopped,ISI.started,ISI.stopped,arrowL.started,arrowL.stopped,arrowR.started,arrowR.stopped,blueLVal.started,blueLVal.stopped,blueRVal.started,blueRVal.stopped,redLVal.started,redLVal.stopped,redRVal.started,redRVal.stopped,right_2.started,right_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,arrowL_3.started,arrowL_3.stopped,arrowR_3.started,arrowR_3.stopped,blueLVal_3.started,blueLVal_3.stopped,blueRVal_3.started,blueRVal_3.stopped,redLVal_3.started,redLVal_3.stopped,redRVal_3.started,redRVal_3.stopped,rating,ratingrt,text_5.started,text_5.stopped,totalScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
351,complete,200,0.8,0,0.2,red,200,0.8,50,0.2,red,red,blue,red,blue,72,72,5,67,5,67,"[-9.3, -1.9]","[6.7, -1.9]","[-6.7, 1.9]","[9.3, 1.9]",0,50,200,200,,,,,0,5,5,107,,,,,,,,,,,,,0.0017360000201733783,0.5017360000201734,1744.867092200002,None,1744.867092200002,None,right,2.0968914999975823,1744.867092200002,None,1744.867092200002,None,1744.867092200002,None,1744.867092200002,None,1744.867092200002,None,1747.0191986999998,None,1747.0191986999998,None,0.0008853000035742298,0.5008853000035742,1747.0191986999998,None,1747.0191986999998,None,1747.0191986999998,None,1747.0191986999998,None,1747.0191986999998,None,1747.0191986999998,None,1751.0317013000022,None,1751.0317013000022,None,0.002570699987700209,0.5025706999877002,1751.0317013000022,None,1751.0317013000022,None,1751.0317013000022,None,1751.0317013000022,None,1751.0317013000022,None,1751.0317013000022,None,7.700000000000003,1.802,1754.8872959,None,3000,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
38,complete,0,0.5,-200,0.5,blue,-50,0.2,-200,0.8,blue,red,blue,blue,red,180,72,185,355,5,67,"[-10, 0]","[9.3, 1.9]","[-6, 0]","[6.7, -1.9]",0,-50,-200,-200,,,,,0,6,6,10,,,,,,,,,,,,,0.013335499985259958,0.51333549998526,1755.9122711999953,None,1755.9122711999953,None,left,1.695150100000319,1755.9122711999953,None,1755.9122711999953,None,1755.9122711999953,None,1755.9122711999953,None,1755.9122711999953,None,1757.6460867999995,None,1757.6460867999995,None,0.0033583000040380284,0.503358300004038,1757.6460867999995,None,1757.6460867999995,None,1757.6460867999995,None,1757.6460867999995,None,1757.6460867999995,None,1757.6460867999995,None,1761.6422606999986,None,1761.6422606999986,None,0.004782300005899742,0.5047823000058997,1761.6422606999986,None,1761.6422606999986,None,1761.6422606999986,None,1761.6422606999986,None,1761.6422606999986,None,1761.6422606999986,None,6.799999999999997,2.243,1765.972695599994,None,3000,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
53,complete,0,0.8,-50,0.2,blue,-50,0.2,-200,0.8,blue,red,blue,blue,red,72,72,77,355,5,67,"[-9.3, -1.9]","[9.3, 1.9]","[-6.7, 1.9]","[6.7, -1.9]",0,-50,-50,-200,,,,,0,7,7,14,,,,,,,,,,,,,0.0017582000000402331,0.5017582000000402,1767.002889700001,None,1767.002889700001,None,left,4.834641900000861,1767.002889700001,None,1767.002889700001,None,1767.002889700001,None,1767.002889700001,None,1767.002889700001,None,1771.8992735999927,None,1771.8992735999927,None,0.0036060999846085906,0.5036060999846086,1771.8992735999927,None,1771.8992735999927,None,1771.8992735999927,None,1771.8992735999927,None,1771.8992735999927,None,1771.8992735999927,None,1775.5631672000018,None,1775.5631672000018,None,0.004477800015592948,0.504477800015593,1775.5631672000018,None,1775.5631672000018,None,1775.5631672000018,None,1775.5631672000018,None,1775.5631672000018,None,1775.5631672000018,None,5.5,2.765,1780.3997275000002,None,3000,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
5,complete,50,0.2,0,0.8,blue,200,0.8,0,0.2,blue,blue,red,red,blue,72,72,5,67,77,355,"[-6.7, 1.9]","[6.7, -1.9]","[-9.3, -1.9]","[9.3, 1.9]",50,200,0,0,,,,,0,8,8,90,,,,,,,,,,,,,0.0013818000152241439,0.5013818000152241,1781.4380173999962,None,1781.4380173999962,None,right,1.699298399995314,1781.4380173999962,None,1781.4380173999962,None,1781.4380173999962,None,1781.4380173999962,None,1781.4380173999962,None,1783.1814694000059,None,1783.1814694000059,None,0.0013645000144606456,0.5013645000144606,1783.1814694000059,None,1783.1814694000059,None,1783.1814694000059,None,1783.1814694000059,None,1783.1814694000059,None,1783.1814694000059,None,1786.8998485000047,None,1786.8998485000047,None,0.003497900004731491,0.5034979000047315,1786.8998485000047,None,1786.8998485000047,None,1786.8998485000047,None,1786.8998485000047,None,1786.8998485000047,None,1786.8998485000047,None,8.899999999999999,4.607,1793.5764516000054,None,3200,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
245,complete,0,0.5,-50,0.5,red,0,0.8,-200,0.2,blue,red,blue,red,blue,180,72,5,175,77,355,"[-10, 0]","[6.7, -1.9]","[-6, 0]","[9.3, 1.9]",-50,0,0,-200,,,,,0,9,9,42,,,,,,,,,,,,,0.013022899991483428,0.5130228999914834,1794.597926500006,None,1794.597926500006,None,left,1.839603000000352,1794.597926500006,None,1794.597926500006,None,1794.597926500006,None,1794.597926500006,None,1794.597926500006,None,1796.4925492000039,None,1796.4925492000039,None,0.003672600010759197,0.5036726000107592,1796.4925492000039,None,1796.4925492000039,None,1796.4925492000039,None,1796.4925492000039,None,1796.4925492000039,None,1796.4925492000039,None,1800.4654987999966,None,1800.4654987999966,None,0.003116300009423867,0.5031163000094239,1800.4654987999966,None,1800.4654987999966,None,1800.4654987999966,None,1800.4654987999966,None,1800.4654987999966,None,1800.4654987999966,None,-7.700000000000003,3.969,1806.529826099999,None,3150,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
6,complete,50,0.2,0,0.8,blue,200,0.5,0,0.5,blue,blue,red,red,blue,72,180,5,67,185,355,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",50,200,0,0,,,,,0,10,10,72,,,,,,,,,,,,,0.00017579999985173345,0.5001757999998517,1807.5722568999918,None,1807.5722568999918,None,right,0.9981433999928413,1807.5722568999918,None,1807.5722568999918,None,1807.5722568999918,None,1807.5722568999918,None,1807.5722568999918,None,1808.618388899995,None,1808.618388899995,None,0.0016360000154236332,0.5016360000154236,1808.618388899995,None,1808.618388899995,None,1808.618388899995,None,1808.618388899995,None,1808.618388899995,None,1808.618388899995,None,1812.8762427000038,None,1812.8762427000038,None,0.0052263999969,0.5052263999969,1812.8762427000038,None,1812.8762427000038,None,1812.8762427000038,None,1812.8762427000038,None,1812.8762427000038,None,1812.8762427000038,None,10.200000000000003,3.594,1818.5803734999936,None,3350,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
157,complete,0,0.2,-50,0.8,blue,-50,0.5,-200,0.5,red,blue,red,red,blue,72,180,5,67,5,175,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",0,-200,-50,-50,,,,,0,11,11,23,,,,,,,,,,,,,0.01673169998684898,0.516731699986849,1819.6177506999957,None,1819.6177506999957,None,left,10.133902000001399,1819.6177506999957,None,1819.6177506999957,None,1819.6177506999957,None,1819.6177506999957,None,1819.6177506999957,None,1829.8165321999986,None,1829.8165321999986,None,0.0013445000076899305,0.5013445000076899,1829.8165321999986,None,1829.8165321999986,None,1829.8165321999986,None,1829.8165321999986,None,1829.8165321999986,None,1829.8165321999986,None,1833.502824700001,None,1833.502824700001,None,0.004144700011238456,0.5041447000112385,1833.502824700001,None,1833.502824700001,None,1833.502824700001,None,1833.502824700001,None,1833.502824700001,None,1833.502824700001,None,9.100000000000001,1.558,1837.1586022999982,None,3350,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
374,complete,0,0.2,-50,0.8,red,-50,0.2,-200,0.8,red,blue,red,blue,red,72,72,77,355,77,355,"[-6.7, 1.9]","[9.3, 1.9]","[-9.3, -1.9]","[6.7, -1.9]",-50,-200,0,-50,,,,,0,12,12,5,,,,,,,,,,,,,0.016632700004265644,0.5166327000042656,1838.2092789000017,None,1838.2092789000017,None,left,1.424479400011478,1838.2092789000017,None,1838.2092789000017,None,1838.2092789000017,None,1838.2092789000017,None,1838.2092789000017,None,1839.6780165999953,None,1839.6780165999953,None,0.0009213999874191359,0.5009213999874191,1839.6780165999953,None,1839.6780165999953,None,1839.6780165999953,None,1839.6780165999953,None,1839.6780165999953,None,1839.6780165999953,None,1843.7922588999936,None,1843.7922588999936,None,0.003997499996330589,0.5039974999963306,1843.7922588999936,None,1843.7922588999936,None,1843.7922588999936,None,1843.7922588999936,None,1843.7922588999936,None,1843.7922588999936,None,4.200000000000003,1.317,1847.171849099992,None,3300,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
129,complete,200,0.5,0,0.5,blue,200,0.8,50,0.2,red,red,blue,red,blue,180,72,185,355,5,67,"[-10, 0]","[6.7, -1.9]","[-6, 0]","[9.3, 1.9]",200,50,0,200,,,,,0,13,13,101,,,,,,,,,,,,,0.015052100003231317,0.5150521000032313,1848.2014423999935,None,1848.2014423999935,None,right,5.127647000001161,1848.2014423999935,None,1848.2014423999935,None,1848.2014423999935,None,1848.2014423999935,None,1848.2014423999935,None,1853.368940100001,None,1853.368940100001,None,0.0030399999959627166,0.5030399999959627,1853.368940100001,None,1853.368940100001,None,1853.368940100001,None,1853.368940100001,None,1853.368940100001,None,1853.368940100001,None,1857.546470699992,None,1857.546470699992,None,0.004712600013590418,0.5047126000135904,1857.546470699992,None,1857.546470699992,None,1857.546470699992,None,1857.546470699992,None,1857.546470699992,None,1857.546470699992,None,2.299999999999997,2.63,1862.2719302000041,None,3350,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
355,complete,0,0.2,-50,0.8,red,0,0.2,-200,0.8,red,blue,red,blue,red,72,72,77,355,77,355,"[-6.7, 1.9]","[9.3, 1.9]","[-9.3, -1.9]","[6.7, -1.9]",-50,-200,0,0,,,,,0,14,14,3,,,,,,,,,,,,,0.013985399986268021,0.513985399986268,1863.3070922000043,None,1863.3070922000043,None,left,2.9275709000066854,1863.3070922000043,None,1863.3070922000043,None,1863.3070922000043,None,1863.3070922000043,None,1863.3070922000043,None,1866.2831150999991,None,1866.2831150999991,None,0.0014204999897629023,0.5014204999897629,1866.2831150999991,None,1866.2831150999991,None,1866.2831150999991,None,1866.2831150999991,None,1866.2831150999991,None,1866.2831150999991,None,1870.5484658999922,None,1870.5484658999922,None,0.004618599996319972,0.50461859999632,1870.5484658999922,None,1870.5484658999922,None,1870.5484658999922,None,1870.5484658999922,None,1870.5484658999922,None,1870.5484658999922,None,-5.899999999999999,3.643,1876.2779732000054,None,3300,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
370,complete,0,0.5,-50,0.5,red,-50,0.5,-200,0.5,red,red,blue,red,blue,180,180,5,175,5,175,"[-10, 0]","[6, 0]","[-6, 0]","[10, 0]",-50,-200,0,-50,,,,,0,15,15,29,,,,,,,,,,,,,0.012644899979932234,0.5126448999799322,1877.312858499994,None,1877.312858499994,None,left,1.9062145000061719,1877.312858499994,None,1877.312858499994,None,1877.312858499994,None,1877.312858499994,None,1877.312858499994,None,1879.2713528000022,None,1879.2713528000022,None,0.001139800006058067,0.5011398000060581,1879.2713528000022,None,1879.2713528000022,None,1879.2713528000022,None,1879.2713528000022,None,1879.2713528000022,None,1879.2713528000022,None,1883.1357954999985,None,1883.1357954999985,None,0.004166700018686242,0.5041667000186862,1883.1357954999985,None,1883.1357954999985,None,1883.1357954999985,None,1883.1357954999985,None,1883.1357954999985,None,1883.1357954999985,None,-1.7000000000000028,4.928,1890.1745730999974,None,3250,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
253,complete,0,0.5,-200,0.5,red,-50,0.5,-200,0.5,blue,red,blue,red,blue,180,180,5,175,185,355,"[-10, 0]","[6, 0]","[-6, 0]","[10, 0]",-200,-50,0,-200,,,,,0,16,16,28,,,,,,,,,,,,,0.007178800005931407,0.5071788000059314,1891.2172139000031,None,1891.2172139000031,None,left,2.655499900007271,1891.2172139000031,None,1891.2172139000031,None,1891.2172139000031,None,1891.2172139000031,None,1891.2172139000031,None,1893.916749600001,None,1893.916749600001,None,0.0014711999974679202,0.5014711999974679,1893.916749600001,None,1893.916749600001,None,1893.916749600001,None,1893.916749600001,None,1893.916749600001,None,1893.916749600001,None,1897.655124099998,None,1897.655124099998,None,0.005020700016757473,0.5050207000167575,1897.655124099998,None,1897.655124099998,None,1897.655124099998,None,1897.655124099998,None,1897.655124099998,None,1897.655124099998,None,-11.700000000000003,3.217,1902.965683699993,None,3050,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
134,complete,200,0.8,0,0.2,blue,200,0.2,50,0.8,red,red,blue,blue,red,72,72,77,355,77,355,"[-9.3, -1.9]","[9.3, 1.9]","[-6.7, 1.9]","[6.7, -1.9]",200,50,0,200,,,,,0,17,17,71,,,,,,,,,,,,,0.013745799995376728,0.5137457999953767,1903.9871845000016,None,1903.9871845000016,None,left,6.0393004000070505,1903.9871845000016,None,1903.9871845000016,None,1903.9871845000016,None,1903.9871845000016,None,1903.9871845000016,None,1910.0907368000044,None,1910.0907368000044,None,0.0014309000107459724,0.501430900010746,1910.0907368000044,None,1910.0907368000044,None,1910.0907368000044,None,1910.0907368000044,None,1910.0907368000044,None,1910.0907368000044,None,1914.0056218999962,None,1914.0056218999962,None,0.0047953000030247495,0.5047953000030247,1914.0056218999962,None,1914.0056218999962,None,1914.0056218999962,None,1914.0056218999962,None,1914.0056218999962,None,1914.0056218999962,None,12.5,1.48,1917.575197099999,None,3250,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
22,complete,200,0.2,0,0.8,blue,200,0.5,50,0.5,blue,blue,red,red,blue,72,180,5,67,185,355,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",200,200,0,50,,,,,0,18,18,74,,,,,,,,,,,,,0.01481160000548698,0.514811600005487,1918.6034925999993,None,1918.6034925999993,None,right,1.0673463999992236,1918.6034925999993,None,1918.6034925999993,None,1918.6034925999993,None,1918.6034925999993,None,1918.6034925999993,None,1919.7332601999951,None,1919.7332601999951,None,0.003650200000265613,0.5036502000002656,1919.7332601999951,None,1919.7332601999951,None,1919.7332601999951,None,1919.7332601999951,None,1919.7332601999951,None,1919.7332601999951,None,1923.6700850000052,None,1923.6700850000052,None,0.0035829999833367765,0.5035829999833368,1923.6700850000052,None,1923.6700850000052,None,1923.6700850000052,None,1923.6700850000052,None,1923.6700850000052,None,1923.6700850000052,None,14.400000000000006,2.653,1928.4252065000037,None,3450,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
