Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
494,_5,M,225,L,N,494_5M225LN,HLN,0,31,31,189,,,0.854,952.1667118,952.4646644,952.4646644,952.6815216,952.6984044,None,down,2.5826306,952.6984044,None,952.6984044,953.5478153,0.1860883,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
302,_2,M,225,L,N,302_2M225LN,HLN,0,32,32,157,,,1.345,955.4076907,955.6972621,955.6972621,955.9958947,956.0123674,None,up,3.0492856,956.0123674,None,956.0123674,957.3446003,0.1151812,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
295,_2,N,270,L,N,295_2N270LN,HLN,0,33,33,254,,,1.229,959.2993886,959.5923945,959.5923945,959.7756946,959.7923896,None,up,2.4164254,959.7923896,None,959.7923896,961.0077241,0.2264692,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
496,_5,M,315,L,N,496_5M315LN,HLN,0,34,34,191,,,1.062,962.3362252,962.6395387,962.6395387,962.9232245,962.9399436,None,down,2.2985778,962.9399436,None,962.9399436,963.9891393,0.1193804,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,M,45,_,_,_FM045__,N,0,35,35,1,,,0.986,965.3609331,965.6534961,965.6534961,965.9536837,965.9705448,None,down,1.9324948,965.9705448,None,965.9705448,966.9361111,0.1133472,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
263,_2,N,270,R,N,263_2N270RN,HRN,0,36,36,246,,,1.31,968.0442404,968.3347896,968.3347896,968.618083,968.6348795,None,up,2.1849517,968.6348795,None,968.6348795,969.9337355,0.1334355,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,M,225,_,_,_GM225__,N,0,37,37,13,,,0.973,971.051966,971.3487243,971.3487243,971.5314589,971.5481708,None,down,2.1194945,971.5481708,None,971.5481708,972.5147091,0.2209243,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_5,N,315,_,_,__5N315__,N,0,38,38,95,,,0.828,973.7949355,974.0817807,974.0817807,974.379765,974.3965172,None,up,1.898706,974.3965172,None,974.3965172,975.2120964,0.1148711,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,N,270,_,_,_GN270__,N,0,39,39,62,,,1.245,976.4896491,976.7792221,976.7792221,977.0108706,977.0271255,None,up,2.2339805,977.0271255,None,977.0271255,978.2594783,0.1849148,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
205,G,M,180,R,N,205GM180RN,HRN,0,40,40,132,,,1.128,979.3782556,979.6747384,979.6908092,979.9748218,979.9914642,None,down,2.5655349,979.9914642,None,979.9914642,981.1073008,0.1063253,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
