Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
_,R,N,180,_,_,_RN180__,N,0,41,41,68,,,1.042,186.11807360005332,186.44313810003223,186.4592749000294,186.7424954000162,186.75985990004847,None,up,186.75985990004847,None,186.75985990004847,187.7924505000119,0.0786583999870345,None,3.363625600002706,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
271,_2,M,270,R,N,271_2M270RN,HRN,0,42,42,150,,,0.918,190.1930052000098,190.53949260001536,190.55609220004408,190.83944960002555,190.85611370002152,None,down,190.85611370002152,None,190.85611370002152,191.75495610001963,0.06260020000627264,None,2.4517999999807216,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
267,_2,M,90,R,N,267_2M090RN,HRN,0,43,43,146,,,0.806,193.40347460005432,193.72005000000354,193.73689390002983,194.02064719999908,194.03665910003474,None,down,194.03665910003474,None,194.03665910003474,194.83581300004153,0.08525649999501184,None,2.0990226000430994,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
295,_2,N,270,L,N,295_2N270LN,HLN,0,44,44,254,,,1.161,196.20717470004456,196.55111040000338,196.56795640004566,196.85099390003597,196.8676483000163,None,up,196.8676483000163,None,196.8676483000163,198.01691780000692,0.06403589999536052,None,2.33109669998521,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
451,_5,N,90,R,N,451_5N090RN,HRN,0,45,45,274,,,0.92,199.2746010000119,199.61603080003988,199.63168900000164,199.91447250003694,199.93167190003442,None,up,199.93167190003442,None,199.93167190003442,200.83053910004674,0.0682962000137195,None,2.131286000018008,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,N,315,_,_,__5N315__,N,0,46,46,95,,,1.367,202.13095600000815,202.47941800003173,202.49770800000988,202.7791649000137,202.79587830003584,None,up,202.79587830003584,None,202.79587830003584,204.14399770001182,0.06118969997623935,None,3.31550279998919,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
491,_5,M,90,L,N,491_5M090LN,HLN,0,47,47,186,,,1.035,206.18047410005238,206.52610310004093,206.54338980000466,206.8250586000504,206.84346200001892,None,down,206.84346200001892,None,206.84346200001892,207.85759010002948,0.06164259999059141,None,2.6988153000129387,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
301,_2,M,180,L,N,301_2M180LN,HLN,0,48,48,156,,,1.024,209.61188860004768,209.95755430002464,209.97334000002593,210.2554687000229,210.27195390005363,None,None,210.27195390005363,None,210.27195390005363,211.28793460002635,0.06250469997758046,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
042,R,M,45,L,N,042RM045LN,HLN,0,49,49,105,,,0.801,213.80516170000192,214.15244070003973,214.16936490003718,214.45241060003173,214.46884720004164,213.80516170000192,down,214.46884720004164,None,214.46884720004164,215.25163740001153,0.06262889999197796,None,1.9675916000269353,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
268,_2,M,135,R,N,268_2M135RN,HRN,0,50,50,147,,,1.04,216.50688250001986,216.85012390004704,216.86668470001314,217.1498486000346,217.16649730002973,None,down,217.16649730002973,None,217.16649730002973,218.1819757000194,0.06337480002548546,None,1.9674624999752268,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,R,N,45,_,_,_RN045__,N,0,51,51,65,,,0.849,219.2034518000437,219.54754060000414,219.56535109999822,219.84732490003807,219.86379270005273,None,up,219.86379270005273,None,219.86379270005273,220.69703170005232,0.061972199997399,None,1.6667426999774761,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
204,G,M,135,R,N,204GM135RN,HRN,0,52,52,131,,,0.734,221.60541950003244,221.94569560000673,221.96218160004355,222.24565250001615,222.2621666000341,None,down,222.2621666000341,None,222.2621666000341,222.9782618000172,0.06761039997218177,None,2.0815685999696143,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,F,M,180,_,_,_FM180__,N,0,53,53,4,,,0.96,224.41350940003758,224.75996160000795,224.77631290000863,225.05946580000455,225.07664060004754,None,down,225.07664060004754,None,225.07664060004754,226.0253596000257,0.06302050000522286,None,3.081248799979221,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
041,R,M,0,L,N,041RM000LN,HLN,0,54,54,104,,,1.397,228.24542410002323,228.57309430005262,228.58949900005246,228.8732482000487,228.88991210004315,None,down,228.88991210004315,None,228.88991210004315,230.27186380000785,0.07750549999764189,None,2.3501001999829896,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
206,G,M,225,R,N,206GM225RN,HRN,0,55,55,133,,,1.278,231.30872400000226,231.65425800002413,231.6708440000075,231.95459080004366,231.97007840004517,None,down,231.97007840004517,None,231.97007840004517,233.23567650001496,0.062098000023979694,None,3.4003870000015013,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
201,G,M,0,R,N,201GM000RN,HRN,0,56,56,128,,,0.897,235.4397512000287,235.78426939999918,235.80062180000823,236.08326860005036,236.09987050003838,None,down,236.09987050003838,None,236.09987050003838,236.98192660004133,0.06268500001169741,None,2.1505502999643795,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
199,G,N,270,R,N,199GN270RN,HRN,0,57,57,230,,,0.839,238.35712350002723,238.66439150000224,238.680851800018,238.96428870002273,238.9809412000468,None,up,238.9809412000468,None,238.9809412000468,239.81388430000516,0.09612649999326095,None,1.767768600024283,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
234,G,M,45,L,N,234GM045LN,HLN,0,58,58,137,,,0.912,240.8240146000171,241.16199870000128,241.17859380005393,241.46235060004983,241.47910070000216,None,down,241.47910070000216,None,241.47910070000216,242.37744280003244,0.06845389999216422,None,1.9325261000194587,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
040,R,N,315,L,N,040RN315LN,HLN,0,59,59,207,,,0.767,243.50653280003462,243.8264710000367,243.8431857000105,244.1264077000087,244.14365230000112,None,up,244.14365230000112,None,244.14365230000112,244.89204950002022,0.08363539999118075,None,1.8650046000257134,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_2,N,135,_,_,__2N135__,N,0,60,60,75,,,0.915,246.0811609000084,246.424676500028,246.44122520001838,246.72450870001921,246.74058510002214,None,up,246.74058510002214,None,246.74058510002214,247.64002490002895,0.06556019996060058,None,3.28132100001676,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
228,G,N,135,L,N,228GN135LN,HLN,0,61,61,235,,,0.915,250.0923454000149,250.4374198000296,250.45402010000544,250.73741420003353,250.75337420002325,None,up,250.75337420002325,None,250.75337420002325,251.65260080003645,0.06231170002138242,None,2.7334216000162996,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
397,_4,M,180,R,N,397_4M180RN,HRN,0,62,62,164,,,1.223,253.55729360005353,253.90243730001384,253.91781280003488,254.20180000003893,254.21745809999993,None,up,254.21745809999993,None,254.21745809999993,255.41777460003505,0.06323510000947863,None,2.5479659999837168,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
162,F,N,45,L,N,162FN045LN,HLN,0,63,63,217,,,0.73,256.84799890004797,257.1817821000004,257.19876150001073,257.4822679000208,257.4981775000342,None,up,257.4981775000342,None,257.4981775000342,258.21387240005424,0.07461260003037751,None,2.0158261000178754,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
392,_4,N,315,R,N,392_4N315RN,HRN,0,64,64,263,,,1.004,259.58434620004846,259.92898880003486,259.94576130004134,260.22951830003876,260.2454994000145,None,up,260.2454994000145,None,260.2454994000145,261.23813960002735,0.06274150003446266,None,1.7349487000028603,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
297,_2,M,0,L,N,297_2M000LN,HLN,0,65,65,152,,,1.331,262.0633057000232,262.393237100041,262.4097066000104,262.69313650002005,262.70980960002635,None,down,262.70980960002635,None,262.70980960002635,264.0256590000354,0.07492650003405288,None,2.6981551999924704,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
136,F,N,315,R,N,136FN315RN,HRN,0,66,66,215,,,1.367,265.4773806000012,265.8240496000508,265.8409964000457,266.123209100042,266.1416695000371,None,up,266.1416695000371,None,266.1416695000371,267.4891058000503,0.06247950001852587,None,2.247023799980525,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
013,R,M,180,R,N,013RM180RN,HRN,0,67,67,100,,,1.17,268.45962560002226,268.8050200000289,268.8218027999974,269.1047950000502,269.12123900000006,None,down,269.12123900000006,None,269.12123900000006,270.2700241000275,0.06305510003585368,None,2.9993540999712422,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
197,G,N,180,R,N,197GN180RN,HRN,0,68,68,228,,,0.919,272.18972850003047,272.53490100003546,272.5514540000004,272.834669200005,272.85142240003916,None,up,272.85142240003916,None,272.85142240003916,273.75065140001243,0.061571799975354224,None,2.7477380000054836,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
389,_4,N,180,R,N,389_4N180RN,HRN,0,69,69,260,,,1.351,275.66859500005376,276.0151692000218,276.03295690001687,276.31490550003946,276.3316853000433,None,up,276.3316853000433,None,276.3316853000433,277.66354850004427,0.0626479999627918,None,2.697726499987766,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,M,0,_,_,__5M000__,N,0,70,70,40,,,0.89,279.09723800001666,279.4454409000464,279.4620772000053,279.7452087000129,279.7631198000163,None,down,279.7631198000163,None,279.7631198000163,280.6278608000139,0.06081819999963045,None,2.348584200022742,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,N,45,_,_,__5N045__,N,0,71,71,89,,,0.865,282.179654400039,282.5263947000494,282.5431035000365,282.82622430002084,282.84295140003087,None,up,282.84295140003087,None,282.84295140003087,283.69152069999836,0.06130719999782741,None,1.9842595999944024,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
134,F,N,225,R,N,134FN225RN,HRN,0,72,72,213,,,0.721,284.89603430003626,285.24072530004196,285.257262900006,285.54051250003977,285.55720530002145,None,up,285.55720530002145,None,285.55720530002145,286.2563864000258,0.06236080004600808,None,1.6985357000376098,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_2,N,315,_,_,__2N315__,N,0,73,73,79,,,0.896,287.33712910005124,287.67317500000354,287.68785360001493,287.97108149999985,287.989763300051,None,up,287.989763300051,None,287.989763300051,288.8703991000075,0.07384580001235008,None,1.9803019000100903,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,M,45,_,_,__5M045__,N,0,74,74,41,,,0.92,290.0368606999982,290.38605060003465,290.40358040004503,290.68627870001364,290.70240850001574,None,down,290.70240850001574,None,290.70240850001574,291.6010976000107,0.06017350003821775,None,2.7172572999843396,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
