Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
494,_5,M,225,L,N,494_5M225LN,HLN,0,66,66,189,,,1.077,258.80742,259.0958825,259.0958825,259.1960007,259.2125618,None,down,259.2125618,None,259.2125618,260.2782214,0.3122129,None,2.9842039,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
289,_2,N,0,L,N,289_2N000LN,HLN,0,67,67,248,,,1.233,262.5045667,262.7931874,262.7931874,262.9096171,262.9259426,None,up,262.9259426,None,262.9259426,264.1418344,0.2954059,None,2.1661758,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
490,_5,M,45,L,N,490_5M045LN,HLN,0,68,68,185,,,0.96,265.3051403,265.6069746,265.6069746,265.8069194,265.82416,None,down,265.82416,None,265.82416,266.7728252,0.2012517,None,2.4482352,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
35,R,N,90,L,N,035RN090LN,HLN,0,69,69,202,,,0.847,268.4605764,268.7542647,268.7542647,268.9873881,269.0041424,None,up,269.0041424,None,269.0041424,269.8369873,0.1749219,None,1.8018498,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
161,F,N,0,L,N,161FN000LN,HLN,0,70,70,216,,,1.055,271.0572344,271.3519525,271.3519525,271.5184997,271.5352187,None,up,271.5352187,None,271.5352187,272.5840157,0.2372143,None,1.7174564,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
133,F,N,180,R,N,133FN180RN,HRN,0,71,71,212,,,1.141,273.6260051,273.9172551,273.9172551,273.9672501,273.985602,None,up,273.985602,None,273.985602,275.1161166,0.3583389,None,2.3641135,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,225,_,_,_GN225__,N,0,72,72,61,,,0.981,276.6732189,276.9636736,276.9636736,277.0635186,277.0805515,None,up,277.0805515,None,277.0805515,278.0461124,0.3058654,None,2.0666378,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
428,_4,M,135,L,N,428_4M135LN,HLN,0,73,73,171,,,0.95,279.4306796,279.7280491,279.7280491,279.8612767,279.8778,None,up,279.8778,None,279.8778,280.8107062,0.2676231,None,2.3176581,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
385,_4,N,0,R,N,385_4N000RN,HRN,0,74,74,256,,,1.167,282.4958788,282.7919407,282.7919407,282.9086272,282.9253119,None,up,282.9253119,None,282.9253119,284.0747112,0.2874294,None,2.3657407,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
232,G,N,315,L,N,232GN315LN,HLN,0,75,75,239,,,1.288,285.4974083,285.7893481,285.7893481,286.0057597,286.0226791,None,up,286.0226791,None,286.0226791,287.2882961,0.1938816,None,2.4177071,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
