Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
_,R,N,270,_,_,_RN270__,N,0,184,184,70,,,1.016,620.7128556,621.0133143,621.0133143,621.2133012,621.2298975,None,up,621.2298975,None,621.2298975,622.2289514,0.2022077,None,2.1008685,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
386,_4,N,45,R,N,386_4N045RN,HRN,0,185,185,257,,,1.015,623.5285873,623.8277401,623.8277401,624.0440424,624.060809,None,up,624.060809,None,624.060809,625.0600977,0.1856213,None,1.7832759,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
387,_4,N,90,R,N,387_4N090RN,HRN,0,186,186,258,,,1.254,626.0496178,626.3421858,626.3421858,626.5586959,626.5751692,None,up,626.5751692,None,626.5751692,627.8239262,0.1927703,None,1.9830412,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
13,R,M,180,R,N,013RM180RN,HRN,0,187,187,100,,,1.274,628.8013871,629.1048229,629.1048229,629.2729889,629.2898317,None,up,629.2898317,None,629.2898317,630.5557537,0.2299971,None,3.2158607,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
203,G,M,90,R,N,203GM090RN,HRN,0,188,188,130,,,1.273,632.7258856,633.0197007,633.0197007,633.219699,633.2365972,None,None,633.2365972,None,633.2365972,634.5015403,0.2053118,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,0,_,_,_FM000__,N,0,189,189,0,,,1.054,636.8753967,637.1659598,637.1659598,637.4156906,637.4323057,636.8753967,down,637.4323057,None,637.4323057,638.4649379,0.1654676,None,1.9829547,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
226,G,N,45,L,N,226GN045LN,HLN,0,190,190,233,,,1.06,639.7267382,640.0150805,640.0150805,640.1298768,640.1466944,None,up,640.1466944,None,640.1466944,641.1959955,0.2969886,None,2.4317341,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,90,_,_,__4N090__,N,0,191,191,82,,,1.255,642.7892521,643.0774306,643.0774306,643.2939635,643.3105441,None,up,643.3105441,None,643.3105441,644.5427327,0.1975628,None,2.7163664,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
132,F,N,135,R,N,132FN135RN,HRN,0,192,192,211,,,1.048,646.2844071,646.5743873,646.5743873,646.7414836,646.758964,None,up,646.758964,None,646.758964,647.790725,0.2443763,None,3.1145997,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
198,G,N,225,R,N,198GN225RN,HRN,0,193,193,229,,,1.223,650.1531402,650.4559059,650.4559059,650.588309,650.6069891,None,up,650.6069891,None,650.6069891,651.8200949,0.2659629,None,3.0629205,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
418,_4,N,45,L,N,418_4N045LN,HLN,0,194,194,265,,,0.978,653.8701011,654.1678035,654.1678035,654.3844162,654.4009416,None,up,654.4009416,None,654.4009416,655.3667045,0.1876406,None,1.8675313,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
42,R,M,45,L,N,042RM045LN,HLN,0,195,195,105,,,0.772,656.4867031,656.7822894,656.7822894,656.9852565,657.000132,None,down,657.000132,None,657.000132,657.765425,0.2057701,None,1.748399,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
16,R,M,315,R,N,016RM315RN,HRN,0,196,196,103,,,0.703,658.9523104,659.2467102,659.2467102,659.4634765,659.4798602,None,down,659.4798602,None,659.4798602,660.1625267,0.1889885,None,1.4832171,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
292,_2,N,135,L,N,292_2N135LN,HLN,0,197,197,251,,,1.186,661.1559285,661.4446677,661.4446677,661.6794688,661.6949352,None,up,661.6949352,None,661.6949352,662.8604009,0.1792002,None,2.0817014,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
12,R,M,135,R,N,012RM135RN,HRN,0,198,198,99,,,0.956,665.0012552,665.2914121,665.2914121,665.491167,665.5080681,None,down,665.5080681,None,665.5080681,666.458499,0.2093369,None,2.816063,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
2,R,N,45,R,N,002RN045RN,HRN,0,199,199,193,,,1.309,668.5215801,668.8216629,668.8216629,669.0380999,669.0549236,None,up,669.0549236,None,669.0549236,670.3541149,0.1845859,None,2.4824042,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
163,F,N,90,L,N,163FN090LN,HLN,0,200,200,218,,,1.298,671.8391991,672.1353688,672.1353688,672.2521095,672.2688194,None,up,672.2688194,None,672.2688194,673.5511082,0.2893678,None,2.1497107,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
227,G,N,90,L,N,227GN090LN,HLN,0,201,201,234,,,0.72,674.6468944,674.9344599,674.9344599,675.1329047,675.1495662,None,up,675.1495662,None,675.1495662,675.8495687,0.2147727,None,1.5831379,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
394,_4,M,45,R,N,394_4M045RN,HRN,0,202,202,161,,,0.764,676.9283848,677.2161,677.2161,677.4475469,677.4650226,None,down,677.4650226,None,677.4650226,678.2138965,0.182158,None,1.6508049,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,315,_,_,__4N315__,N,0,203,203,87,,,0.928,679.3548388,679.6459568,679.6459568,679.828857,679.8454158,None,up,679.8454158,None,679.8454158,680.7618506,0.2248611,None,1.7867773,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
464,_5,M,315,R,N,464_5M315RN,HRN,0,204,204,183,,,0.96,682.0730349,682.0730349,682.0730349,682.374812,682.374812,None,down,682.374812,None,682.374812,683.3092308,0.4213198,None,1.9346964,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
174,F,M,225,L,N,174FM225LN,HLN,0,205,205,125,,,0.989,684.4955996,684.7912373,684.7912373,685.0243325,685.0408171,None,up,685.0408171,None,685.0408171,686.0232589,0.1730554,None,2.0327882,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
162,F,N,45,L,N,162FN045LN,HLN,0,206,206,217,,,1.023,687.2642976,687.5552677,687.5552677,687.7883901,687.805149,None,up,687.805149,None,687.805149,688.820673,0.1782664,None,2.399517,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
207,G,M,270,R,N,207GM270RN,HRN,0,207,207,134,,,0.942,690.397348,690.6865411,690.6865411,690.9191022,690.9357143,None,down,690.9357143,None,690.9357143,691.8684464,0.1799373,None,2.2661778,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,180,_,_,_FM180__,N,0,208,208,4,,,1.283,693.4196515,693.7166888,693.7166888,693.9167103,693.933145,None,None,693.933145,None,693.933145,695.1985807,0.2045098,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,315,_,_,_GM315__,N,0,209,209,15,,,0.97,697.6644123,697.9632917,697.9632917,698.1140275,698.1304067,697.6644123,down,698.1304067,None,698.1304067,699.0950742,0.2521194,None,3.114333,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
205,G,M,180,R,N,205GM180RN,HRN,0,210,210,132,,,0.933,701.4429241,701.743071,701.743071,701.9596073,701.9760714,None,down,701.9760714,None,701.9760714,702.891982,0.1857038,None,2.2159615,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
268,_2,M,135,R,N,268_2M135RN,HRN,0,211,211,147,,,0.756,704.3866396,704.6746454,704.6746454,704.9068722,704.9237747,None,None,704.9237747,None,704.9237747,705.6727707,0.1808133,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,135,_,_,_GN135__,N,0,212,212,59,,,0.914,708.6090312,708.9035936,708.9035936,709.1032947,709.1200434,708.6090312,up,709.1200434,None,709.1200434,710.0194886,0.2083042,None,1.9827688,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,180,_,_,__5M180__,N,0,213,213,44,,,0.769,711.4104877,711.701308,711.701308,711.817672,711.8344595,None,up,711.8344595,None,711.8344595,712.5834407,0.2932549,None,2.8317505,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
261,_2,N,180,R,N,261_2N180RN,HRN,0,214,214,244,,,1.396,714.844415,715.1461098,715.1461098,715.3810815,715.3980857,None,up,715.3980857,None,715.3980857,716.7799353,0.1665286,None,2.5482943,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,270,_,_,__4M270__,N,0,215,215,38,,,0.979,718.13779,718.4283711,718.4283711,718.6614601,718.6780909,None,down,718.6780909,None,718.6780909,719.6440696,0.1789523,None,2.7342404,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
485,_5,N,180,L,N,485_5N180LN,HLN,0,216,216,284,,,1.076,721.6083884,721.9086571,721.9086571,722.1250546,722.1417445,None,up,722.1417445,None,722.1417445,723.207972,0.1831541,None,3.0666278,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
431,_4,M,270,L,N,431_4M270LN,HLN,0,217,217,174,,,0.978,725.4594292,725.7557179,725.7557179,725.9217484,725.9388479,None,down,725.9388479,None,725.9388479,726.9049905,0.2353809,None,2.8500456,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
206,G,M,225,R,N,206GM225RN,HRN,0,218,218,133,,,1.375,729.0857138,729.3853594,729.3853594,729.5228104,729.5228104,None,down,729.5228104,None,729.5228104,730.8842506,0.2785397,None,2.8792571,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
389,_4,N,180,R,N,389_4N180RN,HRN,0,219,219,260,,,1.383,732.5918486,732.8822824,732.8822824,733.1155928,733.1322019,None,up,733.1322019,None,733.1322019,734.4979346,0.1768445,None,2.7002259,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
176,F,M,315,L,N,176FM315LN,HLN,0,220,220,127,,,1.318,736.0664014,736.3629262,736.3629262,736.5457702,736.5625601,None,down,736.5625601,None,736.5625601,737.8620459,0.2197719,None,2.6488274,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
298,_2,M,45,L,N,298_2M045LN,HLN,0,221,221,153,,,0.861,739.4044771,739.6930387,739.6930387,739.9264077,739.9431083,None,None,739.9431083,None,739.9431083,740.792671,0.1800686,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
234,G,M,45,L,N,234GM045LN,HLN,0,222,222,137,,,0.853,743.6208375,743.9226155,743.9226155,744.1246183,744.1437171,743.6208375,down,744.1437171,None,744.1437171,744.9750812,0.2002486,None,2.3961492,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,0,_,_,__4N000__,N,0,223,223,80,,,0.97,746.7235591,747.0199527,747.0199527,747.2535007,747.2697628,None,up,747.2697628,None,747.2697628,748.2190318,0.1717475,None,2.1839033,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
144,F,M,315,R,N,144FM315RN,HRN,0,224,224,119,,,0.893,749.6572629,749.9507892,749.9507892,750.1671636,750.1839265,None,down,750.1839265,None,750.1839265,751.0665339,0.1901737,None,1.6519243,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
171,F,M,90,L,N,171FM090LN,HLN,0,225,225,122,,,0.915,752.0301453,752.3320791,752.3320791,752.5485969,752.5651613,None,down,752.5651613,None,752.5651613,753.4642977,0.1821481,None,1.7850421,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
302,_2,M,225,L,N,302_2M225LN,HLN,0,226,226,157,,,1.177,754.5444781,754.8464937,754.8464937,755.0630602,755.0800316,None,up,755.0800316,None,755.0800316,756.246082,0.1813315,None,2.6497583,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
231,G,N,270,L,N,231GN270LN,HLN,0,227,227,238,,,0.994,757.9540023,758.2437093,758.2437093,758.4440773,758.4614279,None,up,758.4614279,None,758.4614279,759.4425889,0.2105964,None,2.3478035,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,135,_,_,__4N135__,N,0,228,228,83,,,1.016,761.0201005,761.3225313,761.3225313,761.5242069,761.541183,None,up,761.541183,None,761.541183,762.5398112,0.1978921,None,2.281928,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
262,_2,N,225,R,N,262_2N225RN,HRN,0,229,229,245,,,1.212,764.0081365,764.3048571,764.3048571,764.5381501,764.5547034,None,up,764.5547034,None,764.5547034,765.7538586,0.171774,None,2.7497357,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
454,_5,N,225,R,N,454_5N225RN,HRN,0,230,230,277,,,1.036,767.525363,767.818404,767.818404,768.0183649,768.0348912,None,up,768.0348912,None,768.0348912,769.0504808,0.2080767,None,2.5841018,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
208,G,M,315,R,N,208GM315RN,HRN,0,231,231,135,,,1.198,770.8034526,771.098997,771.098997,771.332453,771.3496172,None,down,771.3496172,None,771.3496172,772.5316069,0.1718628,None,2.0329783,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
175,F,M,270,L,N,175FM270LN,HLN,0,232,232,126,,,1.29,773.634594,773.9299424,773.9299424,774.0966591,774.113184,None,down,774.113184,None,774.113184,775.3954081,0.2366059,None,2.9319476,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,45,_,_,__5M045__,N,0,233,233,41,,,0.936,777.2239602,777.5113107,777.5113107,777.7599026,777.7767651,None,up,777.7767651,None,777.7767651,778.6921917,0.1667333,None,2.6331827,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
424,_4,N,315,L,N,424_4N315LN,HLN,0,234,234,271,,,1.016,780.6122137,780.9072766,780.9072766,781.1235532,781.1402429,None,up,781.1402429,None,781.1402429,782.1398247,0.1901158,None,1.8177178,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,180,_,_,__2M180__,N,0,235,235,28,,,0.812,783.2520377,783.5398409,783.5398409,783.671216,783.6882991,None,up,783.6882991,None,783.6882991,784.4878029,0.2810463,None,2.1989511,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,180,_,_,_FN180__,N,0,236,236,52,,,0.782,786.1047661,786.4021619,786.4021619,786.6032456,786.62042,None,up,786.62042,None,786.62042,787.3853486,0.2031938,None,2.116042,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
463,_5,M,270,R,N,463_5M270RN,HRN,0,237,237,182,,,1.218,788.9651424,789.2666284,789.2666284,789.4499327,789.4669742,None,down,789.4669742,None,789.4669742,790.6819723,0.2141378,None,2.4486406,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,45,_,_,_GM045__,N,0,238,238,9,,,0.81,792.2245713,792.5133579,792.5133579,792.6304689,792.6469541,None,down,792.6469541,None,792.6469541,793.4461053,0.2931736,None,3.0008288,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
259,_2,N,90,R,N,259_2N090RN,HRN,0,239,239,242,,,0.944,795.9213005,796.2122123,796.2122123,796.3602364,796.3770346,None,up,796.3770346,None,796.3770346,797.309744,0.2616174,None,2.4157414,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,0,_,_,__5N000__,N,0,240,240,88,,,0.819,799.0030772,799.2922781,799.2922781,799.5075536,799.5245277,None,up,799.5245277,None,799.5245277,800.3237422,0.1975032,None,2.4834407,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,180,_,_,_RN180__,N,0,241,241,68,,,0.954,802.2854049,802.5863339,802.5863339,802.7218418,802.738781,None,down,802.738781,None,802.738781,803.68754,0.2646664,None,2.0333971,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
229,G,N,180,L,N,229GN180LN,HLN,0,242,242,236,,,1.357,805.021789,805.3192067,805.3192067,805.4860051,805.502944,None,up,805.502944,None,805.502944,806.8520623,0.2335474,None,2.2064627,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
129,F,N,0,R,N,129FN000RN,HRN,0,243,243,208,,,1.054,807.9965855,808.2833956,808.2833956,808.4331085,808.4496661,None,up,808.4496661,None,808.4496661,809.4822741,0.2693055,None,1.7665335,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
456,_5,N,315,R,N,456_5N315RN,HRN,0,244,244,279,,,1.08,810.5176253,810.8147731,810.8147731,810.9314508,810.948743,None,up,810.948743,None,810.948743,812.0135976,0.2859784,None,2.4809971,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
430,_4,M,225,L,N,430_4M225LN,HLN,0,245,245,173,,,1.241,813.6173831,813.9116149,813.9116149,814.1448479,814.1613693,None,up,814.1613693,None,814.1613693,815.3944591,0.1737397,None,2.2509536,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
486,_5,N,225,L,N,486_5N225LN,HLN,0,246,246,285,,,1.139,816.6427487,816.942377,816.942377,817.1254213,817.1422033,None,up,817.1422033,None,817.1422033,818.2747619,0.2159154,None,2.0012172,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,90,_,_,__4M090__,N,0,247,247,34,,,0.964,819.3836797,819.6739655,819.6739655,819.8567415,819.8738736,None,down,819.8738736,None,819.8738736,820.8220823,0.2264771,None,2.6493207,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
400,_4,M,315,R,N,400_4M315RN,HRN,0,248,248,167,,,1.117,822.8226008,823.1400938,823.1400938,823.2373652,823.25449,None,down,823.25449,None,823.25449,824.3688505,0.2798629,None,2.0502419,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,135,_,_,__2M135__,N,0,249,249,27,,,1.135,825.5227061,825.8179018,825.8179018,826.0344754,826.0344754,None,down,826.0344754,None,826.0344754,827.1666809,0.1991167,None,3.2658405,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
493,_5,M,180,L,N,493_5M180LN,HLN,0,250,250,188,,,1.364,829.4986132,829.7978516,829.7978516,830.0141914,830.0308017,None,None,830.0308017,None,830.0308017,831.379736,0.1850091,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
458,_5,M,45,R,N,458_5M045RN,HRN,0,251,251,177,,,1.078,833.679475,833.9775159,833.9775159,834.2115018,834.2280605,833.679475,down,834.2280605,None,834.2280605,835.2936641,0.1710151,None,3.2475283,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
3,R,N,90,R,N,003RN090RN,HRN,0,252,252,194,,,0.712,837.7209625,838.0090981,838.0090981,838.1912257,838.2086355,None,up,838.2086355,None,838.2086355,838.9080496,0.2307523,None,2.6973061,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
194,G,N,45,R,N,194GN045RN,HRN,0,253,253,225,,,1.277,841.0876067,841.3879442,841.3879442,841.6207492,841.6373918,None,up,841.6373918,None,841.6373918,842.9036062,0.1693783,None,2.216285,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,135,_,_,_FN135__,N,0,254,254,51,,,0.722,844.146086,844.4350674,844.4350674,844.5687196,844.5849549,None,down,844.5849549,None,844.5849549,845.3013316,0.2796624,None,1.9011896,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
135,F,N,270,R,N,135FN270RN,HRN,0,255,255,214,,,1.267,846.8060799,847.0996793,847.0996793,847.1995937,847.2160167,None,up,847.2160167,None,847.2160167,848.4648883,0.3053119,None,1.9662375,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,0,_,_,_GM000__,N,0,256,256,8,,,1.343,849.4471158,849.7472999,849.7472999,849.8970394,849.9135288,None,down,849.9135288,None,849.9135288,851.2460543,0.2492563,None,3.148834,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,135,_,_,_FM135__,N,0,257,257,3,,,0.886,853.2933453,853.5938072,853.5938072,853.7771298,853.7934399,None,down,853.7934399,None,853.7934399,854.6603349,0.2162458,None,2.5329441,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
271,_2,M,270,R,N,271_2M270RN,HRN,0,258,258,150,,,1.093,856.7375116,857.0255501,857.0255501,857.2407313,857.2570201,None,down,857.2570201,None,857.2570201,858.3395562,0.1984769,None,2.5824352,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,225,_,_,_FM225__,N,0,259,259,5,,,0.778,860.1216616,860.4214587,860.4214587,860.5544993,860.5718966,None,None,860.5718966,None,860.5718966,861.3368865,0.2695649,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
399,_4,M,270,R,N,399_4M270RN,HRN,0,260,260,166,,,1.111,864.254422,864.5507949,864.5507949,864.7506615,864.7676395,864.254422,down,864.7676395,None,864.7676395,865.8667939,0.2064265,None,2.1494305,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,135,_,_,__2N135__,N,0,261,261,75,,,1.261,867.1565504,867.4483569,867.4483569,867.6320701,867.6482315,None,up,867.6482315,None,867.6482315,868.8969676,0.224789,None,2.3020055,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,315,_,_,_FN315__,N,0,262,262,55,,,0.713,870.3538075,870.6352205,870.6459444,870.6787832,870.6787832,None,up,870.6787832,None,870.6787832,871.3781136,0.3855541,None,1.9011652,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
173,F,M,180,L,N,173FM180LN,HLN,0,263,263,124,,,0.856,872.7918736,873.093457,873.093457,873.2931986,873.3097524,None,up,873.3097524,None,873.3097524,874.1592928,0.1977617,None,1.8664962,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,225,_,_,_RM225__,N,0,264,264,21,,,0.993,875.3686398,875.6581956,875.6581956,875.8907333,875.9074942,None,down,875.9074942,None,875.9074942,876.8901018,0.1801788,None,2.2160924,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
265,_2,M,0,R,N,265_2M000RN,HRN,0,265,265,144,,,0.829,878.3333524,878.6223655,878.6223655,878.838286,878.8550835,None,down,878.8550835,None,878.8550835,879.671736,0.1964462,None,1.8835354,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,180,_,_,__4M180__,N,0,266,266,36,,,1.256,880.9590135,881.2532593,881.2532593,881.4528405,881.4701484,None,None,881.4701484,None,881.4701484,882.7183578,0.2075258,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,90,_,_,_RN090__,N,0,267,267,66,,,1.075,885.2164081,885.5163927,885.5163927,885.6491504,885.6667517,885.2164081,up,885.6667517,None,885.6667517,886.7319035,0.2681002,None,2.4478031,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
39,R,N,270,L,N,039RN270LN,HLN,0,268,268,206,,,1.281,888.370603,888.6629807,888.6629807,888.8296379,888.8461255,None,up,888.8461255,None,888.8461255,890.1119794,0.2441811,None,1.8990469,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
267,_2,M,90,R,N,267_2M090RN,HRN,0,269,269,146,,,0.84,890.9560302,891.2457253,891.2457253,891.4604272,891.4772124,None,down,891.4772124,None,891.4772124,892.3097788,0.1979297,None,2.1668496,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,270,_,_,__4N270__,N,0,270,270,86,,,0.954,893.8532263,894.1427421,894.1427421,894.3580806,894.3762556,None,up,894.3762556,None,894.3762556,895.3076061,0.1974518,None,2.9137443,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
300,_2,M,135,L,N,300_2M135LN,HLN,0,271,271,155,,,0.827,897.4909539,897.788422,897.788422,898.005434,898.0225514,None,down,898.0225514,None,898.0225514,898.8379729,0.1874051,None,2.0661404,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
238,G,M,225,L,N,238GM225LN,HLN,0,272,272,141,,,1.281,900.4094593,900.7028445,900.7028445,900.9051457,900.924265,None,up,900.924265,None,900.924265,902.185409,0.2072811,None,3.0618775,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
172,F,M,135,L,N,172FM135LN,HLN,0,273,273,123,,,1.022,904.2056631,904.4992861,904.4992861,904.6989541,904.7156482,None,down,904.7156482,None,904.7156482,905.7319656,0.2074189,None,2.1993485,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
33,R,N,0,L,N,033RN000LN,HLN,0,274,274,200,,,0.703,907.3435951,907.6463977,907.6463977,907.7298335,907.7466106,None,up,907.7466106,None,907.7466106,908.4292438,0.3159712,None,1.6829047,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
166,F,N,225,L,N,166FN225LN,HLN,0,275,275,221,,,1.336,909.6239006,909.9130091,909.9130091,910.1442421,910.1609093,None,up,910.1609093,None,910.1609093,911.4765178,0.1821968,None,3.2484858,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
388,_4,N,135,R,N,388_4N135RN,HRN,0,276,276,259,,,1.156,913.6296448,913.9245355,913.9245355,914.1243975,914.1411139,None,up,914.1411139,None,914.1411139,915.2899193,0.2038526,None,2.2027906,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
449,_5,N,0,R,N,449_5N000RN,HRN,0,277,277,272,,,1.03,916.9339191,917.2240374,917.2240374,917.3738737,917.3738737,None,up,917.3738737,None,917.3738737,918.4036832,0.2696618,None,1.7305169,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,270,_,_,__5M270__,N,0,278,278,46,,,1.135,919.3522723,919.6524797,919.6524797,919.8191457,919.8360864,None,down,919.8360864,None,919.8360864,920.9518948,0.2348222,None,2.4172432,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
