Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
301,_2,M,180,L,N,301_2M180LN,HLN,0,32,32,156,,,0.974,397.4399294999894,397.73563739995006,397.73563739995006,397.8854477999266,397.9024497999344,None,up,2.816442299983464,397.9024497999344,None,397.9024497999344,398.8674541999353,0.2519873999990523,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
393,_4,M,0,R,N,393_4M000RN,HRN,0,33,33,160,,,0.806,400.96262989996467,401.25087799993344,401.25087799993344,401.43212479993235,401.4487315999577,None,up,1.669023200054653,401.4487315999577,None,401.4487315999577,402.2480203999439,0.22919669991824776,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
289,_2,N,0,L,N,289_2N000LN,HLN,0,34,34,248,,,1.01,403.31166569993366,403.5984233999625,403.5984233999625,403.82992589997593,403.8465429999633,None,up,2.0684965000255033,403.8465429999633,None,403.8465429999633,404.8460308999056,0.1815175999654457,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_4,N,225,_,_,__4N225__,N,0,35,35,85,,,1.157,406.0926386999199,406.394596499973,406.394596499973,406.62732299999334,406.64420899993274,None,up,2.668043699930422,406.64420899993274,None,406.64420899993274,407.79349969991017,0.1654795000795275,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
450,_5,N,45,R,N,450_5N045RN,HRN,0,36,36,273,,,0.774,409.5469603999518,409.84154679998755,409.84154679998755,410.0246642999118,410.0415003999369,None,up,1.6852858000202104,410.0415003999369,None,410.0415003999369,410.80767169990577,0.2185027999803424,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
040,R,N,315,L,N,040RN315LN,HLN,0,37,37,207,,,1.0070000000000001,411.98412749997806,412.27389869990293,412.27389869990293,412.4564629999222,412.4564629999222,None,up,2.033388499985449,412.4564629999222,None,412.4564629999222,413.4553773999214,0.23934089997783303,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
425,_4,M,0,L,N,425_4M000LN,HLN,0,38,38,168,,,1.328,414.6729284999892,414.97034160001203,414.97034160001203,415.203485099948,415.2206805999158,None,up,1.9828188000246882,415.2206805999158,None,415.2206805999158,416.5362104999367,0.170200000051409,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,N,45,_,_,__2N045__,N,0,39,39,73,,,0.9510000000000001,417.4275644000154,417.7177886000136,417.7177886000136,417.9175705999369,417.93472859996837,None,up,2.316592499963008,417.93472859996837,None,417.93472859996837,418.8671035999432,0.21109509991947562,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,F,M,135,_,_,_FM135__,N,0,40,40,3,,,0.839,420.47504799999297,420.7660353999818,420.7660353999818,420.9654542999342,420.98181029991247,None,down,2.333600400015712,420.98181029991247,None,420.98181029991247,421.8152989000082,0.21119739999994636,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
263,_2,N,270,R,N,263_2N270RN,HRN,0,41,41,246,,,1.197,423.54315589996986,423.83104329998605,423.83104329998605,424.0298064999515,424.0460425999481,None,up,2.634355999995023,424.0460425999481,None,424.0460425999481,425.228099299944,0.21326619992032647,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
449,_5,N,0,R,N,449_5N000RN,HRN,0,42,42,272,,,1.0170000000000001,426.8802683999529,427.17675489990506,427.17675489990506,427.3952680999646,427.4115870000096,None,up,1.9979659999953583,427.4115870000096,None,427.4115870000096,428.4097908999538,0.18803690001368523,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,G,N,315,_,_,_GN315__,N,0,43,43,63,,,0.735,429.66684630000964,429.95771260000765,429.95771260000765,430.12373469991144,430.1404879000038,None,up,1.9344217999605462,430.1404879000038,None,430.1404879000038,430.858260900015,0.24132009991444647,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
264,_2,N,315,R,N,264_2N315RN,HRN,0,44,44,247,,,0.921,432.320970700006,432.62184029992204,432.62184029992204,432.78803109994624,432.804772799951,None,up,1.6022688000230119,432.804772799951,None,432.804772799951,433.72082229994703,0.23046719992998987,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
