Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
8,R,N,315,R,N,008RN315RN,HRN,0,30,30,199,,,1.175,488.4788327,488.7794861,488.7794861,488.980039,488.9978592,None,up,2.881571,488.9978592,None,488.9978592,490.1617066,0.1990843,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
5,R,N,180,R,N,005RN180RN,HRN,0,31,31,196,,,0.885,492.0712526,492.3616571,492.3616571,492.5937538,492.612287,None,up,2.2644803,492.612287,None,492.612287,493.4748327,0.1801525,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
205,G,M,180,R,N,205GM180RN,HRN,0,32,32,132,,,1.185,495.0819196,495.3735933,495.3735933,495.5898395,495.6067553,None,down,2.1495602,495.6067553,None,495.6067553,496.7721046,0.1923251,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,N,225,_,_,_RN225__,N,0,33,33,69,,,1.081,497.9644382,498.2543909,498.2543909,498.4706347,498.4873663,None,up,2.2169851,498.4873663,None,498.4873663,499.5534822,0.1957328,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
493,_5,M,180,L,N,493_5M180LN,HLN,0,34,34,188,,,1.02,500.9044359,501.2016536,501.2016536,501.4180944,501.4349418,None,None,,501.4349418,None,501.4349418,502.4339236,0.1874699,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_2,M,135,_,_,__2M135__,N,0,35,35,27,,,1.258,505.1236516,505.4146586,505.4146586,505.6153228,505.6319005,505.1236516,down,3.2999764,505.6319005,None,505.6319005,506.8799332,0.2100284,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
202,G,M,45,R,N,202GM045RN,HRN,0,36,36,129,,,0.804,509.1797391,509.4775364,509.4775364,509.6610281,509.6610281,None,None,,509.6610281,None,509.6610281,510.4600565,0.2307662,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_4,N,0,_,_,__4N000__,N,0,37,37,80,,,1.004,513.3614004,513.6574302,513.6574302,513.8572289,513.8747779,513.3614004,up,1.9999773,513.8747779,None,513.8747779,514.8563407,0.206025,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_5,N,90,_,_,__5N090__,N,0,38,38,90,,,1.138,516.0795539,516.3717973,516.3717973,516.588084,516.6049623,None,up,3.0512058,516.6049623,None,516.6049623,517.7377067,0.191654,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
227,G,N,90,L,N,227GN090LN,HLN,0,39,39,234,,,0.995,519.8792302,520.1685824,520.1685824,520.3685667,520.3865083,None,up,2.6978173,520.3865083,None,520.3865083,521.3673963,0.2090547,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
