trialNumber,mychoice,otherchoice,stay,skip,pointsWon,otherScore,unobtained,choicepos,pos_1,otherscore,allowedkeyresp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,left_3.started,left_3.stopped,middle_3.started,middle_3.stopped,right_3.started,right_3.stopped,otherleft_1.started,otherleft_1.stopped,othermiddle_1.started,othermiddle_1.stopped,otherright_1.started,otherright_1.stopped,text_2.started,text_2.stopped,left_4.started,left_4.stopped,right_4.started,right_4.stopped,middle_4.started,middle_4.stopped,ISI_3.started,ISI_3.stopped,mypick.started,mypick.stopped,otherpick.started,otherpick.stopped,residal.started,residal.stopped,otherleft_5.started,otherleft_5.stopped,othermiddle_5.started,othermiddle_5.stopped,otherright_5.started,otherright_5.stopped,left_5.started,left_5.stopped,right_5.started,right_5.stopped,middle_5.started,middle_5.stopped,ISI_5.started,ISI_5.stopped,mypick_1.started,mypick_1.stopped,otherpick_1.started,otherpick_1.stopped,residal_1.started,residal_1.stopped,otherleft_6.started,otherleft_6.stopped,othermiddle_6.started,othermiddle_6.stopped,otherright_6.started,otherright_6.stopped,text_3.started,text_3.stopped,rating,ratingrt,totalScore,othertotalScore,unobtainedScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,otherleft_3.started,otherleft_3.stopped,othermiddle_3.started,othermiddle_3.stopped,otherright_3.started,otherright_3.stopped,text_4.started,text_4.stopped,ISI_2.started,ISI_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,otherleft_4.started,otherleft_4.stopped,othermiddle_4.started,othermiddle_4.stopped,otherright_4.started,otherright_4.stopped,text_5.started,text_5.stopped,left.started,left.stopped,right.started,right.stopped,middle.started,middle.stopped,ISI.started,ISI.stopped,mypick_3.started,mypick_3.stopped,otherpick_3.started,otherpick_3.stopped,residal_3.started,residal_3.stopped,otherleft.started,otherleft.stopped,othermiddle.started,othermiddle.stopped,otherright.started,otherright.stopped,right_2.started,right_2.stopped,middle_2.started,middle_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,mypick_4.started,mypick_4.stopped,otherpick_4.started,otherpick_4.stopped,residal_4.started,residal_4.stopped,otherleft_2.started,otherleft_2.stopped,othermiddle_2.started,othermiddle_2.stopped,otherright_2.started,otherright_2.stopped,text_6.started,text_6.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
19,0,0,50,two,0,0,50,,,,,0,9,9,18,,,,,,,,,,,g,2.893500000005588,173.03408489999129,None,173.03408489999129,None,175.98016079998342,None,175.98016079998342,None,175.98016079998342,None,177.9271718999953,178.45257490000222,177.9271718999953,178.45257490000222,177.9271718999953,178.45257490000222,175.98016079998342,None,178.48562275000148,None,178.48562275000148,None,178.48562275000148,None,0.019855350023135543,None,178.48562275000148,None,178.48562275000148,None,178.48562275000148,None,178.48562275000148,None,178.48562275000148,None,178.48562275000148,None,178.48950949998107,None,178.48950949998107,None,178.48950949998107,None,0.010479549993760884,0.5104795499937609,178.48950949998107,None,178.48950949998107,None,178.48950949998107,None,178.48950949998107,None,178.48950949998107,None,178.48950949998107,None,180.49269595001823,None,-11.100000000000001,2.518,-100,-300,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
88,-200,-200,-150,one,-200,-200,-150,,,,,0,10,10,87,,,,,,,,,,,g,2.6816596999997273,183.03274429996964,None,183.03274429996964,None,185.75863619998563,None,185.75863619998563,None,185.75863619998563,None,187.70789560000412,188.208180000016,187.70789560000412,188.208180000016,187.70789560000412,188.208180000016,185.75863619998563,None,188.28544085000175,None,188.28544085000175,None,188.28544085000175,None,0.014337350032292306,None,188.28544085000175,None,188.28544085000175,None,188.28544085000175,None,188.28544085000175,None,188.28544085000175,None,188.28544085000175,None,188.29645959998015,None,188.29645959998015,None,188.29645959998015,None,0.003898549999576062,0.5038985499995761,188.29645959998015,None,188.29645959998015,None,188.29645959998015,None,188.29645959998015,None,188.29645959998015,None,188.29645959998015,None,190.30777955001685,None,-12.799999999999997,2.45,-300,-500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
21,50,0,0,two,50,0,0,,,,,0,11,11,20,,,,,,,,,,,g,3.0000006000045687,192.79113169998163,None,192.79113169998163,None,195.82439369999338,None,195.82439369999338,None,195.82439369999338,None,197.81727110000793,None,197.81727110000793,None,197.81727110000793,None,195.82439369999338,None,198.3614327499992,None,198.3614327499992,None,198.3614327499992,None,0.010024150018580258,None,198.3614327499992,None,198.3614327499992,None,198.3614327499992,None,198.3614327499992,None,198.3614327499992,None,198.3614327499992,None,198.3870625999989,None,198.3870625999989,None,198.3870625999989,None,0.029453600058332086,0.5294536000583321,198.3870625999989,None,198.3870625999989,None,198.3870625999989,None,198.3870625999989,None,198.3870625999989,None,198.3870625999989,None,200.33494199998677,200.33494199998677,4.899999999999999,2.563,-250,-500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
64,0,0,-200,one,0,0,-200,,,,,0,12,12,63,,,,,,,,,,,g,2.6094257999793626,203.02037300000666,None,203.02037300000666,None,205.6549970000051,None,205.6549970000051,None,205.6549970000051,None,207.6207909999648,208.13765709998552,207.6207909999648,208.13765709998552,207.6207909999648,208.13765709998552,205.6549970000051,None,208.17070494998478,None,208.17070494998478,None,208.17070494998478,None,0.025255550048314035,None,208.17070494998478,None,208.17070494998478,None,208.17070494998478,None,208.17070494998478,None,208.17070494998478,None,208.17070494998478,None,208.16974450001726,None,208.16974450001726,None,208.16974450001726,None,0.018943349947221577,0.5189433499472216,208.16974450001726,None,208.16974450001726,None,208.16974450001726,None,208.16974450001726,None,208.16974450001726,None,208.16974450001726,None,210.15344349999214,210.15344349999214,6.799999999999997,2.772,-250,-500,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
30,50,50,0,one,50,50,0,,,,,0,13,13,29,,,,,,,,,,,g,2.8068220000131987,212.987161499972,None,212.987161499972,None,215.84297739999602,None,215.84297739999602,None,215.84297739999602,None,217.82965570001397,None,217.82965570001397,None,217.82965570001397,None,215.84297739999602,None,218.34762694999807,None,218.34762694999807,None,218.34762694999807,None,0.012115649995394051,None,218.34762694999807,None,218.34762694999807,None,218.34762694999807,None,218.34762694999807,None,218.34762694999807,None,218.34762694999807,None,218.38287430000491,None,218.38287430000491,None,218.38287430000491,None,0.021430400025565177,0.5214304000255652,218.38287430000491,None,218.38287430000491,None,218.38287430000491,None,218.38287430000491,None,218.38287430000491,None,218.38287430000491,None,220.3516621000017,220.3516621000017,-1.8999999999999986,2.483,-200,-450,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
5,200,50,0,one,200,50,0,,,,,0,14,14,4,,,,,,,,,,,g,2.6601076999795623,222.88770019996446,None,222.88770019996446,None,225.59376999997767,None,225.59376999997767,None,225.59376999997767,None,227.604041100014,None,227.604041100014,None,227.604041100014,None,225.59376999997767,None,228.11689155000494,None,228.11689155000494,None,228.11689155000494,None,0.027251149993389845,None,228.11689155000494,None,228.11689155000494,None,228.11689155000494,None,228.11689155000494,None,228.11689155000494,None,228.11689155000494,None,228.11588140000822,None,228.11588140000822,None,228.11588140000822,None,0.01991235004970804,0.519912350049708,228.11588140000822,None,228.11588140000822,None,228.11588140000822,None,228.11588140000822,None,228.11588140000822,None,228.11588140000822,None,230.0822873999714,230.0822873999714,16.0,5.417,0,-400,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
72,-200,0,0,two,-200,0,0,,,,,0,15,15,71,,,,,,,,,,,g,3.26582019997295,235.55312100000447,None,235.55312100000447,None,238.8532480999711,None,238.8532480999711,None,238.8532480999711,None,240.8153011999675,241.34773189999396,240.8153011999675,241.34773189999396,240.8153011999675,241.34773189999396,238.8532480999711,None,241.38077974999322,None,241.38077974999322,None,241.38077974999322,None,0.027383150067180395,None,241.38077974999322,None,241.38077974999322,None,241.38077974999322,None,241.38077974999322,None,241.38077974999322,None,241.38077974999322,None,241.3868687999784,None,241.3868687999784,None,241.3868687999784,None,0.007571549969725311,0.5075715499697253,241.3868687999784,None,241.3868687999784,None,241.3868687999784,None,241.3868687999784,None,241.3868687999784,None,241.3868687999784,None,243.38108099997044,243.38108099997044,-37.2,2.685,-200,-400,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
81,-150,-150,-200,two,-150,-150,-200,,,,,0,16,16,80,,,,,,,,,,,g,3.193851199990604,246.12545170000521,None,246.12545170000521,None,249.36697520001326,None,249.36697520001326,None,249.36697520001326,None,251.3272865000181,251.8125897999853,251.3272865000181,251.8125897999853,251.3272865000181,251.8125897999853,249.36697520001326,None,251.91068354998714,None,251.91068354998714,None,251.91068354998714,None,0.01399294997099787,None,251.91068354998714,None,251.91068354998714,None,251.91068354998714,None,251.91068354998714,None,251.91068354998714,None,251.91068354998714,None,251.92805970000336,None,251.92805970000336,None,251.92805970000336,None,0.002439950010739267,0.5024399500107393,251.92805970000336,None,251.92805970000336,None,251.92805970000336,None,251.92805970000336,None,251.92805970000336,None,251.92805970000336,None,253.91246710001724,253.91246710001724,-11.799999999999997,5.548,-350,-550,-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
49,0,-150,-200,one,0,-150,-200,,,,,0,17,17,48,,,,,,,,,,,g,3.600648400024511,259.52879349997966,None,259.52879349997966,None,263.1933445999748,None,263.1933445999748,None,263.1933445999748,None,265.14300099998945,265.643242799968,265.14300099998945,265.643242799968,265.14300099998945,265.643242799968,263.1933445999748,None,265.70928965001366,None,265.70928965001366,None,265.70928965001366,None,0.026794450008310378,None,265.70928965001366,None,265.70928965001366,None,265.70928965001366,None,265.70928965001366,None,265.70928965001366,None,265.70928965001366,None,265.7085331999697,None,265.7085331999697,None,265.7085331999697,None,0.01966004999121651,0.5196600499912165,265.7085331999697,None,265.7085331999697,None,265.7085331999697,None,265.7085331999697,None,265.7085331999697,None,265.7085331999697,None,267.6761602999759,267.6761602999759,5.100000000000001,3.218,-350,-700,-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
80,-150,-200,-150,two,-150,-200,-150,,,,,0,18,18,79,,,,,,,,,,,g,3.30741270002909,270.9598898999975,None,270.9598898999975,None,274.3080210000044,None,274.3080210000044,None,274.3080210000044,None,276.25734820001526,276.7955520999967,276.25734820001526,276.7955520999967,276.25734820001526,276.7955520999967,274.3080210000044,None,276.828599949996,None,276.828599949996,None,276.828599949996,None,0.009621050034184009,None,276.828599949996,None,276.828599949996,None,276.828599949996,None,276.828599949996,None,276.828599949996,None,276.828599949996,None,276.8634781999863,None,276.8634781999863,None,276.8634781999863,None,0.022823900042567402,0.5228239000425674,276.8634781999863,None,276.8634781999863,None,276.8634781999863,None,276.8634781999863,None,276.8634781999863,None,276.8634781999863,None,278.83053229999496,278.83053229999496,5.700000000000003,2.336,-500,-900,-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
17,0,200,0,one,0,200,0,,,,,0,19,19,16,,,,,,,,,,,g,2.362780300027225,281.2405701999669,None,281.2405701999669,None,283.67356769996695,None,283.67356769996695,None,283.67356769996695,None,285.6381530999788,286.138992000022,285.6381530999788,286.138992000022,285.6381530999788,286.138992000022,283.67356769996695,None,286.20550374999874,None,286.20550374999874,None,286.20550374999874,None,0.027055450074840337,None,286.20550374999874,None,286.20550374999874,None,286.20550374999874,None,286.20550374999874,None,286.20550374999874,None,286.20550374999874,None,286.2043989999802,None,286.2043989999802,None,286.2043989999802,None,0.019743349985219538,0.5197433499852195,286.2043989999802,None,286.2043989999802,None,286.2043989999802,None,286.2043989999802,None,286.2043989999802,None,286.2043989999802,None,288.160550999979,288.160550999979,-33.6,2.142,-500,-700,-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
